File,Result,Runtime (s)
array-2-O0.smt2,UNSOLVED,4.0
array_1-1-O0.smt2,UNSOLVED,4.0
array_1-2-O0.smt2,UNSOLVED,4.0
array_2-1-O0.smt2,UNSOLVED,4.0
array_2-2-O0.smt2,UNSOLVED,4.0
array_3-1-O0.smt2,UNSOLVED,4.0
array_3-2-O0.smt2,UNSOLVED,4.0
array_4-O0.smt2,UNSOLVED,4.0
benchmark52_polynomial-O0.smt2,UNSAT,0.7934
bresenham-ll-O0.smt2,UNSAT,0.8011
bresenham-ll_unwindbound1-O0.smt2,UNSAT,0.9494
bresenham-ll_unwindbound10-O0.smt2,UNSAT,1.0103
bresenham-ll_unwindbound100-O0.smt2,UNSAT,0.9107
bresenham-ll_unwindbound2-O0.smt2,UNSAT,0.9437
bresenham-ll_unwindbound20-O0.smt2,UNSAT,0.9491
bresenham-ll_unwindbound5-O0.smt2,UNSAT,1.0471
bresenham-ll_unwindbound50-O0.smt2,UNSAT,0.9968
bresenham-ll_valuebound1-O0.smt2,UNSAT,1.139
bresenham-ll_valuebound10-O0.smt2,UNSAT,1.1354
bresenham-ll_valuebound100-O0.smt2,UNSAT,1.142
bresenham-ll_valuebound2-O0.smt2,UNSAT,1.0814
bresenham-ll_valuebound20-O0.smt2,UNSAT,1.1073
bresenham-ll_valuebound5-O0.smt2,UNSAT,1.0397
bresenham-ll_valuebound50-O0.smt2,UNSAT,0.9813
cohencu-ll-O0.smt2,UNSAT,2.3613
MC_02.smt2,UNSAT,0.1498
MC_03.smt2,UNSOLVED,4.0
MC_04.smt2,UNSOLVED,4.0
MC_05.smt2,UNSOLVED,4.0
MC_06.smt2,UNSOLVED,4.0
MC_07.smt2,UNSOLVED,4.0
MC_08.smt2,UNSOLVED,4.0
MC_09.smt2,UNSOLVED,4.0
MC_10.smt2,UNSOLVED,4.0
MC_11.smt2,UNSOLVED,4.0
MC_12.smt2,UNSOLVED,4.0
MF_02.smt2,UNSAT,0.1592
MF_03.smt2,UNSOLVED,4.0
MF_04.smt2,UNSOLVED,4.0
MF_05.smt2,UNSOLVED,4.0
MF_06.smt2,UNSOLVED,4.0
MF_07.smt2,UNSOLVED,4.0
MF_08.smt2,UNSOLVED,4.0
MF_09.smt2,UNSOLVED,4.0
MF_10.smt2,UNSOLVED,4.0
MF_11.smt2,UNSOLVED,4.0
MF_12.smt2,UNSOLVED,4.0
MQ_02.smt2,UNSAT,0.1479
MQ_03.smt2,UNSOLVED,4.0
MQ_04.smt2,UNSOLVED,4.0
MQ_05.smt2,UNSOLVED,4.0
MQ_06.smt2,UNSOLVED,4.0
MQ_07.smt2,UNSOLVED,4.0
MQ_08.smt2,UNSOLVED,4.0
MQ_09.smt2,UNSOLVED,4.0
MQ_10.smt2,UNSOLVED,4.0
MQ_11.smt2,UNSOLVED,4.0
MQ_12.smt2,UNSOLVED,4.0
MS_02.smt2,UNSAT,0.145
MS_03.smt2,UNSOLVED,4.0
MS_04.smt2,UNSOLVED,4.0
MS_05.smt2,UNSOLVED,4.0
MS_06.smt2,UNSOLVED,4.0
MS_07.smt2,UNSOLVED,4.0
MS_08.smt2,UNSOLVED,4.0
MS_09.smt2,UNSOLVED,4.0
MS_10.smt2,UNSOLVED,4.0
MS_11.smt2,UNSOLVED,4.0
MS_12.smt2,UNSOLVED,4.0
RTA_091.smt2,UNSOLVED,4.0
RTA_092.smt2,UNSOLVED,4.0
RTA_093.smt2,UNSOLVED,4.0
RTA_094.smt2,UNSOLVED,4.0
RTA_095.smt2,UNSOLVED,4.0
RTA_096.smt2,UNSOLVED,4.0
cohencu.c_2.smt2,UNSOLVED,4.0
cohencu.c_4.smt2,UNSOLVED,4.0
divbin2.c_3.smt2,UNSOLVED,4.0
divbin2.c_4.smt2,UNSOLVED,4.0
divbin2.c_5.smt2,UNSOLVED,4.0
divbin2.c_6.smt2,UNSOLVED,4.0
divbin2.c_7.smt2,UNSOLVED,4.0
divbin2.c_8.smt2,UNSOLVED,4.0
divbin2.c_9.smt2,UNSOLVED,4.0
egcd.c_0.smt2,SAT,1.2999
egcd.c_1.smt2,UNSOLVED,4.0
egcd.c_3.smt2,SAT,0.202
egcd.c_4.smt2,SAT,-2.422
egcd.c_5.smt2,SAT,0.1972
hard-ll.c_0.smt2,UNSOLVED,4.0
