File,Result,Runtime (s)
Stroeder_15__4NestedWith3Variables_true-termination.c__p20281_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20288_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20289_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20305_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20306_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20307_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20312_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20313_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20314_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20324_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20325_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20326_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_0_0.smt2,UNSAT,3.8745
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_3_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_4_0.smt2,UNSOLVED,4.0
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c__p20413_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__p20426_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__terminationS_1_0.smt2,UNSAT,3.5959
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2,UNSAT,0.382
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20394_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20395_terminationG_0.smt2,UNSOLVED,4.0
inst1.ez.smt2,SAT,0.189
inst2.ez.smt2,SAT,0.1923
inst3.ez.smt2,SAT,0.1921
inst4.ez.smt2,SAT,0.1974
inst5.ez.smt2,SAT,0.1949
inst6.ez.smt2,SAT,0.2008
inst7.ez.smt2,SAT,0.2004
inst8.ez.smt2,SAT,0.2045
25_stack_longer-1-O0.smt2,UNSOLVED,4.0
25_stack_longer-2-O0.smt2,UNSOLVED,4.0
25_stack_longest-1-O0.smt2,UNSOLVED,4.0
25_stack_longest-2-O0.smt2,UNSOLVED,4.0
26_stack_cas_longer-1-O0.smt2,UNSOLVED,4.0
26_stack_cas_longer-2-O0.smt2,UNSOLVED,4.0
26_stack_cas_longest-1-O0.smt2,UNSOLVED,4.0
