File,Result,Runtime (s)
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3383
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.082
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1146
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.6584
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0895
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.3166
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4419
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,-0.6679
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.1502
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.1182
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3573
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4309
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3386
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3247
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0681
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1097
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0919
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0904
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0616
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0597
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0788
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4688
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4453
linear_sea.ch_true-unreach-call.i_162.smt2,UNSAT,0.0287
linear_sea.ch_true-unreach-call.i_163.smt2,UNSAT,0.0268
linear_sea.ch_true-unreach-call.i_164.smt2,UNSAT,0.0277
linear_sea.ch_true-unreach-call.i_75.smt2,UNSAT,0.0297
linear_sea.ch_true-unreach-call.i_76.smt2,UNSAT,0.0338
linear_sea.ch_true-unreach-call.i_77.smt2,UNSAT,0.0299
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.2536
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.5175
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.3698
BradleyMannaSipma-2005ICALP-Fig1-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.285
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.6544
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.1137
CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,1.4268
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,1.8684
HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.2524
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.1516
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2,UNSAT,1.2819
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,1.1261
Masse-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.1117
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0867
Urban-2013WST-Fig1-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.055
Velroyen-alloca_false-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.0715
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.3079
diff-alloca_true-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,2.4004
java_AG313-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,1.4745
openbsd_cstpncpy-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.7496
substring-alloca_true-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.7075
problem-000001.cvc.1.smt2,SAT,0.0783
problem-000001.cvc.2.smt2,UNSAT,0.1622
problem-000003.cvc.1.smt2,SAT,0.0636
problem-000003.cvc.2.smt2,SAT,0.1199
problem-000005.cvc.1.smt2,SAT,0.1079
problem-000005.cvc.2.smt2,UNSAT,0.1934
problem-000007.cvc.1.smt2,SAT,0.0638
