File,Result,Runtime (s)
Stroeder_15__4NestedWith3Variables_true-termination.c__p20312_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20313_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20314_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20324_terminationG_0.smt2,UNSAT,2.2753
Stroeder_15__4NestedWith3Variables_true-termination.c__p20325_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__p20326_terminationG_0.smt2,UNSOLVED,4.0
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_0_0.smt2,UNSAT,0.5413
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2,UNSAT,0.4642
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_3_0.smt2,UNSAT,0.6879
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_4_0.smt2,SAT,0.304
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c__p20413_terminationG_0.smt2,SAT,1.1459
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__p20426_terminationG_0.smt2,SAT,1.2618
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__terminationS_1_0.smt2,UNSAT,0.27
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2,UNSAT,0.0803
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20394_terminationG_0.smt2,SAT,0.2687
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20395_terminationG_0.smt2,SAT,2.0832
inst1.ez.smt2,SAT,0.1807
inst2.ez.smt2,SAT,-2.7768
inst3.ez.smt2,SAT,0.1517
inst4.ez.smt2,SAT,0.1787
inst5.ez.smt2,SAT,0.1726
inst6.ez.smt2,SAT,0.1805
inst7.ez.smt2,SAT,0.1649
inst8.ez.smt2,SAT,0.1679
25_stack_longer-1-O0.smt2,UNSOLVED,4.0
25_stack_longer-2-O0.smt2,UNSOLVED,4.0
25_stack_longest-1-O0.smt2,UNSOLVED,4.0
25_stack_longest-2-O0.smt2,UNSOLVED,4.0
26_stack_cas_longer-1-O0.smt2,UNSOLVED,4.0
26_stack_cas_longer-2-O0.smt2,UNSOLVED,4.0
26_stack_cas_longest-1-O0.smt2,UNSOLVED,4.0
26_stack_cas_longest-2-O0.smt2,UNSOLVED,4.0
28-race_reach_45-escape_racing-O0.smt2,UNSOLVED,4.0
28-race_reach_46-escape_racefree-O0.smt2,UNSOLVED,4.0
36_stack_cas_p0_vs_concur-O0.smt2,UNSOLVED,4.0
37_stack_lock_p0_vs_concur-O0.smt2,UNSOLVED,4.0
pthread-demo-datarace-1-O0.smt2,UNSOLVED,4.0
pthread-demo-datarace-2-O0.smt2,UNSOLVED,4.0
race-2_1-container_of-O0.smt2,UNSOLVED,4.0
race-2_2-container_of-O0.smt2,UNSOLVED,4.0
race-2_3-container_of-O0.smt2,UNSOLVED,4.0
race-2_4-container_of-O0.smt2,UNSOLVED,4.0
race-2_5-container_of-O0.smt2,UNSOLVED,4.0
race-3_1-container_of-global-O0.smt2,UNSOLVED,4.0
race-3_2-container_of-global-O0.smt2,UNSOLVED,4.0
scull-O0.smt2,UNSAT,1.4099
singleton-O0.smt2,UNSOLVED,4.0
singleton_with-uninit-problems-O0.smt2,UNSAT,1.5281
array-1-O0.smt2,UNSAT,0.8285
array-2-O0.smt2,SAT,0.8442
array_1-1-O0.smt2,UNSAT,1.5614
array_1-2-O0.smt2,UNSAT,-1.3415
array_2-1-O0.smt2,UNSAT,3.8892
array_2-2-O0.smt2,UNSAT,3.7695
array_3-1-O0.smt2,UNSAT,0.77
array_3-2-O0.smt2,UNSAT,0.8483
