File,Result,Runtime (s)
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.104
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.6013
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.614
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1692
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,20.0
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.6951
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0671
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0541
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.1983
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.1983
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1292
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1289
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1432
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1611
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.1923
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,1.9375
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.4192
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.7959
